Species Number,Alpha Code,Common Name,Scientific Name,T & E
6660,GCWA,Golden-cheeked Warbler,Setophaga chrysoparia,Y
6670,BTNW,Black-throated Green Warbler,Setophaga virens,
6680,TOWA,Townsend's Warbler,Setophaga townsendi,
6686,THWH,Townsend's X Hermit Warbler Hybrid,,
6690,HEWA,Hermit Warbler,Setophaga occidentalis,
6700,KIWA,Kirtland's Warbler,Setophaga kirtlandii,Y
6710,PIWA,Pine Warbler,Setophaga pinus,
6720,WPWA,Western Palm Warbler,Setophaga palmarum palmarum,
6729,YPWA,Yellow Palm Warbler,Setophaga palmarum hypochrysea,
6730,PRAW,Prairie Warbler,Setophaga discolor,
6740,OVEN,Ovenbird,Seiurus aurocapilla,
6750,NOWA,Northern Waterthrush,Parkesia noveboracensis,
6760,LOWA,Louisiana Waterthrush,Parkesia motacilla,
6770,KEWA,Kentucky Warbler,Geothlypis formosa,
6780,CONW,Connecticut Warbler,Oporornis agilis,
6790,MOWA,Mourning Warbler,Geothlypis philadelphia,
6800,MGWA,MacGillivray's Warbler,Geothlypis tolmiei,
6810,COYE,Common Yellowthroat,Geothlypis trichas,
6821,GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala,
6830,YBCH,Yellow-breasted Chat,Icteria virens,
6840,HOWA,Hooded Warbler,Setophaga citrina,
6850,WIWA,Wilson's Warbler,Cardellina pusilla,
6860,CAWA,Canada Warbler,Cardellina canadensis,
6870,AMRE,American Redstart,Setophaga ruticilla,
6880,PARE,Painted Redstart,Myioborus pictus,
6881,FTWA,Fan-tailed Warbler,Basileuterus lachrymosus,
6882,HOSP,House Sparrow,Passer domesticus,
6883,ETSP,Eurasian Tree Sparrow,Passer montanus,
6890,SLAR,Slate-throated Redstart,Myioborus miniatus,
6900,RFWA,Red-faced Warbler,Cardellina rubrifrons,
6920,GOLW,Golden-crowned Warbler,Basileuterus culicivorus,
6921,RCWA,Rufous-capped Warbler,Basileuterus rufifrons,
6940,WHWA,White Wagtail,Motacilla alba,
6951,BWAG,Black-backed Wagtail,Motacilla alba lugens,
6960,EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis,
6961,GRAW,Gray Wagtail,Motacilla cinerea,
6970,AMPI,American Pipit,Anthus rubescens,
6981,PEPI,Pechora Pipit,Anthus gustavi,
6983,OBPI,Olive-backed Pipit,Anthus hodgsoni,
6990,RTPI,Red-throated Pipit,Anthus cervinus,
7000,SPPI,Sprague's Pipit,Anthus spragueii,
7010,AMDI,American Dipper,Cinclus mexicanus,
7020,SATH,Sage Thrasher,Oreoscoptes montanus,
7030,NOMO,Northern Mockingbird,Mimus polyglottos,
7031,BAMO,Bahama Mockingbird,Mimus gundlachii,
7032,TRMO,Tropical Mockingbird,Mimus gilvus,
7040,GRCA,Gray Catbird,Dumetella carolinensis,
7050,BRTH,Brown Thrasher,Toxostoma rufum,
7060,LBTH,Long-billed Thrasher,Toxostoma longirostre,
7070,CBTH,Curve-billed Thrasher,Toxostoma curvirostre,
7080,BETH,Bendire's Thrasher,Toxostoma bendirei,
7100,CATH,California Thrasher,Toxostoma redivivum,
7110,LCTH,LeConte's Thrasher,Toxostoma lecontei,
7111,PETH,Pearly-eyed Thrasher,Margarops fuscatus,
7120,CRTH,Crissal Thrasher,Toxostoma crissale,
7121,BLMO,Blue Mockingbird,Melanotis caerulescens,
7130,CACW,Cactus Wren,Campylorhynchus brunneicapillus,
7150,ROWR,Rock Wren,Salpinctes obsoletus,
7170,CANW,Canyon Wren,Catherpes mexicanus,
7180,CARW,Carolina Wren,Thryothorus ludovicianus,
7190,BEWR,Bewick's Wren,Thryomanes bewickii,
7210,HOWR,House Wren,Troglodytes aedon,
7220,WIWR,Winter Wren,Troglodytes hiemalis,
7221,PAWR,Pacific Wren,Troglodytes pacificus,
7240,SEWR,Sedge Wren,Cistothorus platensis,
7250,MAWR,Marsh Wren,Cistothorus palustris,
7260,BRCR,Brown Creeper,Certhia americana,
7261,RWBU,Red-whiskered Bulbul,Pycnonotus jocosus,
7262,RVBU,Red-vented Bulbul,Pycnonotus cafer,
7270,WBNU,White-breasted Nuthatch,Sitta carolinensis,
7280,RBNU,Red-breasted Nuthatch,Sitta canadensis,
7290,BHNU,Brown-headed Nuthatch,Sitta pusilla,
7300,PYNU,Pygmy Nuthatch,Sitta pygmaea,
7310,TUTI,Tufted Titmouse,Baeolophus bicolor,
7320,BCTI,Black-crested Titmouse,Baeolophus atricristatus,
7330,OATI,Oak Titmouse,Baeolophus inornatus,
7331,JUTI,Juniper Titmouse,Baeolophus ridgwayi,
7339,PLTI,Plain Titmouse,,
7340,BRTI,Bridled Titmouse,Baeolophus wollweberi,
7341,VATI,Varied Tit,Sittiparus varius,
7350,BCCH,Black-capped Chickadee,Poecile atricapillus,
7356,HYCH,Hybrid Chickadee,,
7360,CACH,Carolina Chickadee,Poecile carolinensis,
7370,MECH,Mexican Chickadee,Poecile sclateri,
7380,MOCH,Mountain Chickadee,Poecile gambeli,
7390,GHCH,Gray-headed Chickadee,Poecile cinctus,
7400,BOCH,Boreal Chickadee,Poecile hudsonicus,
7410,CBCH,Chestnut-backed Chickadee,Poecile rufescens,
7420,WREN,Wrentit,Chamaea fasciata,
7421,RBLE,Red-billed Leiothrix,Leiothrix lutea,
7422,HWAM,Hwamei,Garrulax canorus,
7423,GNLA,Greater Necklaced Laughingthrush,Garrulax pectoralis,
7424,OBNT,Orange-billed Nightingale-Thrush,Catharus aurantiirostris,
7430,BUSH,Bushtit,Psaltriparus minimus,
7460,VERD,Verdin,Auriparus flaviceps,
7461,JABW,Japanese Bush-Warbler,Horornis diphone,
7462,MILL,Millerbird,Acrocephalus familiaris,Y
7470,ARWA,Arctic Warbler,Phylloscopus borealis,
7471,MIGW,Middendorff's Grasshopper-Warbler,Locustella ochotensis,
7473,WOWA,Wood Warbler,Phylloscopus sibilatrix,
7474,DUWA,Dusky Warbler,Phylloscopus fuscatus,
7475,LANW,Lanceolated Warbler,Locustella lanceolata,
7480,GCKI,Golden-crowned Kinglet,Regulus satrapa,
7490,RCKI,Ruby-crowned Kinglet,Regulus calendula,
7491,SIAC,Siberian Accentor,Prunella montanella,
7510,BGGN,Blue-gray Gnatcatcher,Polioptila caerulea,
7520,BTGN,Black-tailed Gnatcatcher,Polioptila melanura,
7530,CAGN,California Gnatcatcher,Polioptila californica,Y
7531,BCGN,Black-capped Gnatcatcher,Polioptila nigriceps,
7532,BACG,Baja Gnatcatcher,Polioptila californica,
7540,TOSO,Townsend's Solitaire,Myadestes townsendi,
7541,OMAO,Omao,Myadestes obscurus,
7542,PUAI,Puaiohi,Myadestes palmeri,Y
7543,KAMA,Kamao,Myadestes myadestinus,Y
7545,OLOM,Olomao,Myadestes lanaiensis,Y
7550,WOTH,Wood Thrush,Hylocichla mustelina,
7560,VEER,Veery,Catharus fuscescens,
7570,GCTH,Gray-cheeked Thrush,Catharus minimus,
7571,BITH,Bicknell's Thrush,Catharus bicknelli,
7579,GCBT,Unidentified Gray-cheeked/Bicknell's Thrush,,
7580,SWTH,Swainson's Thrush,Catharus ustulatus,
7590,HETH,Hermit Thrush,Catharus guttatus,
7600,REDW,Redwing,Turdus iliacus,
7610,AMRO,American Robin,Turdus migratorius,
7612,FIEL,Fieldfare,Turdus pilaris,
7613,EYTH,Eyebrowed Thrush,Turdus obscurus,
7614,DUTH,Dusky Thrush,Turdus naumanni,
7621,CCTH,Clay-colored Thrush,Turdus grayi,
7622,RBRO,Rufous-backed Robin,Turdus rufopalliatus,
7623,RLTH,Red-legged Thrush,Turdus plumbeus,
7630,VATH,Varied Thrush,Ixoreus naevius,
7631,AZTH,Aztec Thrush,Ridgwayia pinicola,
7640,BLUE,Bluethroat,Cyanecula svecica,
7641,SIRU,Siberian Rubythroat,Calliope calliope,
7642,RFBL,Red-flanked Bluetail,Tarsiger cyanurus,
7650,NOWH,Northern Wheatear,Oenanthe oenanthe,
7660,EABL,Eastern Bluebird,Sialia sialis,
7670,WEBL,Western Bluebird,Sialia mexicana,
7676,HYBL,Hybrid Western/Mountain Bluebird,,
7680,MOBL,Mountain Bluebird,Sialia currucoides,
7690,WRSH,White-rumped Shama,Copsychus malabaricus,
7700,HAEL,Hawaii Elepaio,Chasiempis sandwichensis,
7701,OAEL,Oahu Elepaio,Chasiempis ibidis,Y
7702,KAEL,Kauai Elepaio,Chasiempis sclateri,
7710,TAFL,Taiga Flycatcher,Ficedula albicilla,
7720,DSFL,Dark-sided Flycatcher,Muscicapa sibirica,
7730,GSFL,Gray-streaked Flycatcher,Muscicapa griseisticta,
7740,LAFI,Laysan Finch,Telespiza cantans,Y
7750,NIFI,Nihoa Finch,Telespiza ultima,Y
7760,OU,Ou,Psittirostra psittacea,Y
7770,PALI,Palila,Loxioides bailleui,Y
7810,MAPA,Maui Parrotbill,Pseudonestor xanthophrys,Y
7820,HAAM,Hawaii Amakihi,Chlorodrepanis virens,
7821,OAAM,Oahu Amakihi,Chlorodrepanis flava,
7830,KAAM,Kauai Amakihi,Chlorodrepanis stejnegeri,
7840,ANIA,Anianiau,Magumma parva,
7870,OAAK,Oahu Akialoa,Akialoa ellisiana,Y
7880,NUKU,Nukupuu,Hemignathus lucidus,Y
7890,AKIP,Akiapolaau,Hemignathus wilsoni,Y
7900,AKIK,Akikiki,Oreomystis bairdi,Y
7910,HCRE,Hawaii Creeper,Loxops mana,Y
7920,MAAL,Maui Alauahio,Paroreomyza montana,
7930,KAKA,Kakawahie,Paroreomyza flammea,Y
7940,OAAL,Oahu Alauahio,Paroreomyza maculata,Y
7950,AKEP,Akepa,Loxops coccineus,Y
7960,AKEK,Akekee,Loxops caeruleirostris,Y
7980,IIWI,Iiwi,Drepanis coccinea,
8010,AKOH,Akohekohe,Palmeria dolei,Y
8020,APAP,Apapane,Himatione sanguinea,
8040,POUL,Poo-uli,Melamprosops phaeosoma,Y
8041,NRBI,Northern Red Bishop,Euplectes franciscanus,
8042,YCBI,Yellow-crowned Bishop,Euplectes afer,
8050,RCCO,Red-cheeked Cordonbleu,Uraeginthus bengalus,
8060,LAVW,Lavender Waxbill,Estrilda caerulescens,
8070,ORAW,Orange-cheeked Waxbill,Estrilda melpoda,
8080,BRWX,Black-rumped Waxbill,Estrilda troglodytes,
8081,COMW,Common Waxbill,Estrilda astrild,
8090,REAV,Red Avadavat,Amandava amandava,
8100,AFSI,African Silverbill,Euodice cantans,
8101,BRMA,Bronze Mannikin,Spermestes cucullata,
8110,SBMU,Scaly-breasted Munia,Lonchura punctulata,
8120,TRMU,Tricolored Munia,Lonchura malacca,
8130,JAVS,Java Sparrow,Lonchura oryzivora,
8131,PTWH,Pin-tailed Whydah,Vidua macroura,
8501,KIPE,King Penguin,Aptenodytes patagonicus,
8502,EMPE,Emperor Penguin,Aptenodytes forsteri,
8503,GEPE,Gentoo Penguin,Pygoscelis papua,
8504,ADPE,Adelie Penguin,Pygoscelis adeliae,
8505,CHPE,Chinstrap Penguin,Pygoscelis antarcticus,
8506,VIPE,Victoria Penguin,Eudyptes pachyrynchus,
8508,ROCP,Rockhopper Penguin,Eudyptes chrysocome,
8509,ROYP,Royal Penguin,Eudyptes schlegeli,
8510,MACP,Macaroni Penguin,Eudyptes chrysolophus,
8512,FAPE,Fairy Penguin,Eudyptula minor,
8514,AFPE,African Penguin,Spheniscus demersus,
8515,HUPE,Humboldt Penguin,Spheniscus humboldti,
8516,MAGP,Magellanic Penguin,Spheniscus magellanicus,
8517,GALP,Galapagos Penguin,Spheniscus mendiculus,
8519,ROAL,Royal Albatross,Diomedea epomophora,
8521,BUAL,Buller's Albatross,Thalassarche bulleri,
8522,GHAL,Gray-headed Albatross,Thalassarche chrysostoma,
8523,SOAL,Sooty Albatross,Phoebetria fusca,
8524,LMSA,Light-mantled Albatross,Phoebetria palpebrata,
8525,SGPE,Southern Giant Petrel,Macronectes giganteus,
8526,SOFU,Southern Fulmar,Fulmarus glacialoides,
8527,BLPE,Blue Petrel,Halobaena caerulea,
8528,BBPR,Broad-billed Prion,Pachyptila vittata,
8529,DOPR,Dove Prion,Pachyptila desolata,
8530,TBPR,Thin-billed Prion,Pachyptila belcheri,
8531,FAPR,Fairy Prion,Pachyptila turtur,
8532,ANPE,Antarctic Petrel,Thalassoica antarctica,
8533,WCPE,White-chinned Petrel,Procellaria aequinoctialis,
8536,KEPE,Kerguelen Petrel,Aphrodroma brevirostris,
8537,SNPE,Snow Petrel,Pagodroma nivea,
8538,GBSP,Gray-backed Storm-Petrel,Garrodia nereis,
8541,BECO,Blue-eyed Cormorant,Leucocarbo atriceps,
8543,SNSH,Snowy Sheathbill,Chionis albus,
8544,LESH,Lesser Sheathbill,Chionis minor,
8546,SBBG,Southern Black-backed Gull,Larus dominicanus,
8548,ANTE,Antarctic Tern,Sterna vittata,
8549,KETE,Kerguelen Tern,Sterna virgata,
8552,HYSK,Hybrid Skua,,
8553,NGPE,Northern Giant Petrel,Macronectes halli,
8554,BRSK,Brown Skua,Stercorarius antarcticus,
8560,TIMO,Tinian Monarch,Monarcha takatsukasae,
8570,MARC,Mariana Crow,Corvus kubaryi,Y
8580,GUSW,Guam Swiftlet,Aerodramus bartschi,Y
8590,NIRW,Nightingale Reed Warbler,Acrocephalus luscinius,Y
8600,MIME,Micronesian Megapode,Megapodius laperouse,Y
8610,WRSW,White-rumped Swiftlet,Aerodramus spodiopygius,
8620,PCFD,Purple-capped Fruit Dove,Ptilinopus porphyraceus,
8630,COLK,Collared Kingfisher,Todiramphus chloris,
8640,SAST,Samoan Starling,Aplonis atrifusca,
8650,POST,Polynesian Starling,Aplonis tabuensis,
8660,CAHO,Cardinal Honeyeater,Myzomela cardinalis,
8670,WAHO,Wattled Honeyeater,Foulehaio carunculatus,
8680,MIHO,Micronesian Honeyeater,Myzomela rubratra,
8690,RUFA,Rufous Fantail,Rhipidura rufifrons,
8691,FISH,Fiji Shrikebill,Clytorhynchus vitiensis,
8700,BRWE,Bridled White-eye,Zosterops conspicillatus,Y
8710,GOWE,Golden White-eye,Cleptornis marchei,
8720,MIST,Micronesian Starling,Aplonis opaca,
8740,BLDR,Black Drongo,Dicrurus macrocercus,
8750,LTCU,Long-tailed Cuckoo,Eudynamys taitensis,
8760,MCFD,Many-colored Fruit Dove,Ptilinopus perousii,
8770,PAPI,Pacific Pigeon,Ducula pacifica,
8780,SHGD,Shy Ground Dove,Gallicolumba stairi,Y
8790,MICK,Micronesian Kingfisher,Todiramphus cinnamominus,Y
8791,GMKI,Guam Micronesian Kingfisher,Todiramphus cinnamominus cinnamominus,Y
8800,MASW,Mariana Swiftlet,Aerodramus bartschi,Y
8810,ROWE,Rota White-eye,Zosterops rotensis,Y
9067,ANMA,Antillean Mango,Anthracothorax dominicus,
9071,STTL,Streamertail,Trochilus polytmus,
9081,JATO,Jamaican Tody,Todus todus,
9094,SAFL,Sad Flycatcher,Myiarchus barbirostris,
9099,YBEL,Yellow-bellied Elaenia,Elaenia flavogaster,
9101,GAEL,Greater Antillean Elaenia,Elaenia fallax,
9102,JAEL,Jamaican Elaenia,Myiopagis cotta,
9107,JACR,Jamaican Crow,Corvus jamaicensis,
9109,SHWR,Southern House Wren,Troglodytes aedon musculus,
9116,BRTR,Brown Trembler,Cinclocerthia ruficauda,
9120,WETH,White-eyed Thrush,Turdus jamaicensis,
9122,WCTH,White-chinned Thrush,Turdus aurantius,
9127,RTSO,Rufous-throated Solitaire,Myadestes genibarbis,
9130,TBVI,Thick-billed Vireo,Vireo crassirostris,
9132,JAVI,Jamaican Vireo,Vireo modestus,
9138,OLIW,Olive-capped Warbler,Setophaga pityophila,
9141,ARRW,Arrowhead Warbler,Setophaga pharetra,
9145,BAYE,Bahama Yellowthroat,Geothlypis rostrata,
9151,ORAN,Orangequit,Euneornis campestris,
9153,JAEU,Jamaican Euphonia,Euphonia jamaica,
9166,VETR,Venezuelan Troupial,Icterus icterus,
9169,JAOR,Jamaican Oriole,Icterus leucopteryx,
9176,YSGR,Yellow-shouldered Grassquit,Loxipasser anoxanthus,
9178,GABU,Greater Antillean Bullfinch,Melopyrrha violacea,
9182,YBSE,Yellow-bellied Seedeater,Sporophila nigricollis,
9184,BBGR,Blue-black Grassquit,Volatinia jacarina,
9986,HYNO,Hybrid Nonpasserine,,
9996,HYPA,Hybrid Passerine,,
