Species Number,Alpha Code,Common Name,Scientific Name,T & E
4391,VCHU,Violet-crowned Hummingbird,Amazilia violiceps,
4401,WEHU,White-eared Hummingbird,Hylocharis leucotis,
4402,PREM,Puerto Rican Emerald,Chlorostilbon maugaeus,
4408,HYHU,Hybrid Hummingbird,,
4409,UNHU,Unidentified Hummingbird,,
4410,BBLH,Broad-billed Hummingbird,Cynanthus latirostris,
4411,RTBE,Rose-throated Becard,Pachyramphus aglaiae,
4420,FTFL,Fork-tailed Flycatcher,Tyrannus savana,
4430,STFL,Scissor-tailed Flycatcher,Tyrannus forficatus,
4440,EAKI,Eastern Kingbird,Tyrannus tyrannus,
4450,GRAK,Gray Kingbird,Tyrannus dominicensis,
4451,TBKI,Thick-billed Kingbird,Tyrannus crassirostris,
4452,LOKI,Loggerhead Kingbird,Tyrannus caudifasciatus,
4460,TRKI,Tropical Kingbird,Tyrannus melancholicus,
4461,COKI,Couch's Kingbird,Tyrannus couchii,
4470,WEKI,Western Kingbird,Tyrannus verticalis,
4480,CAKI,Cassin's Kingbird,Tyrannus vociferans,
4490,GKIS,Great Kiskadee,Pitangus sulphuratus,
4510,SBFL,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,
4520,GCFL,Great Crested Flycatcher,Myiarchus crinitus,
4530,BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus,
4531,NUFL,Nutting's Flycatcher,Myiarchus nuttingi,
4540,ATFL,Ash-throated Flycatcher,Myiarchus cinerascens,
4550,DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer,
4551,LSFL,La Sagra's Flycatcher,Myiarchus sagrae,
4552,PRFL,Puerto Rican Flycatcher,Myiarchus antillarum,
4553,STOF,Stolid Flycatcher,Myiarchus stolidus,
4554,LESF,Lesser Antillean Flycatcher,Myiarchus oberi,
4560,EAPH,Eastern Phoebe,Sayornis phoebe,
4570,SAPH,Say's Phoebe,Sayornis saya,
4580,BLPH,Black Phoebe,Sayornis nigricans,
4590,OSFL,Olive-sided Flycatcher,Contopus cooperi,
4600,GRPE,Greater Pewee,Contopus pertinax,
4610,EAWP,Eastern Wood-Pewee,Contopus virens,
4620,WEWP,Western Wood-Pewee,Contopus sordidulus,
4621,CUPE,Cuban Pewee,Contopus caribaeus,
4622,LAPE,Lesser Antillean Pewee,Contopus latirostris,
4623,JAPE,Jamaican Pewee,Contopus pallidus,
4624,HIPE,Hispaniolan Pewee,Contopus hispaniolensis,
4630,YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,
4640,COFL,Cordilleran Flycatcher,Empidonax occidentalis,
4641,PSFL,Pacific-slope Flycatcher,Empidonax difficilis,
4649,WEFL,Western Flycatcher,,
4650,ACFL,Acadian Flycatcher,Empidonax virescens,
4660,WIFL,Willow Flycatcher,Empidonax traillii,
4661,ALFL,Alder Flycatcher,Empidonax alnorum,
4664,SWFL,Southwestern Willow Flycatcher,Empidonax traillii extimus,Y
4669,TRFL,Traill's Flycatcher,,
4670,LEFL,Least Flycatcher,Empidonax minimus,
4679,UNEM,Unidentified Empidonax,,
4680,HAFL,Hammond's Flycatcher,Empidonax hammondii,
4690,DUFL,Dusky Flycatcher,Empidonax oberholseri,
4691,GRFL,Gray Flycatcher,Empidonax wrightii,
4700,BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons,
4710,VEFL,Vermilion Flycatcher,Pyrocephalus rubinus,
4711,GREL,Greenish Elaenia,Myiopagis viridicata,
4720,NBTY,Northern Beardless-Tyrannulet,Camptostoma imberbe,
4721,CAEL,Caribbean Elaenia,Elaenia martinica,
4730,EUSK,Eurasian Skylark,Alauda arvensis,
4740,HOLA,Horned Lark,Eremophila alpestris,
4741,SHLA,Streaked Horned Lark,Eremophila alpestris strigata,Y
4750,BBMA,Black-billed Magpie,Pica hudsonia,
4760,YBMA,Yellow-billed Magpie,Pica nuttalli,
4770,BLJA,Blue Jay,Cyanocitta cristata,
4780,STJA,Steller's Jay,Cyanocitta stelleri,
4790,FLSJ,Florida Scrub-Jay,Aphelocoma coerulescens,Y
4810,WESJ,Western Scrub-Jay,Aphelocoma californica,
4811,ISSJ,Island Scrub-Jay,Aphelocoma insularis,
4812,WOSJ,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,
4813,CSJA,California Scrub Jay,Aphelocoma californica,
4820,MEJA,Mexican Jay,Aphelocoma wollweberi,
4830,GREJ,Green Jay,Cyanocorax yncas,
4832,BRJA,Brown Jay,Psilorhinus morio,
4840,CAJA,Canada Jay,Perisoreus canadensis,
4860,CORA,Common Raven,Corvus corax,
4870,CHRA,Chihuahuan Raven,Corvus cryptoleucus,
4871,WNCR,White-necked Crow,Corvus leucognaphalus,Y
4880,AMCR,American Crow,Corvus brachyrhynchos,
4890,NOCR,Northwestern Crow,Corvus caurinus,
4891,TACR,Tamaulipas Crow,Corvus imparatus,
4892,HCRO,Hawaiian Crow,Corvus hawaiiensis,Y
4900,FICR,Fish Crow,Corvus ossifragus,
4910,CLNU,Clark's Nutcracker,Nucifraga columbiana,
4920,PIJA,Pinyon Jay,Gymnorhinus cyanocephalus,
4930,EUST,European Starling,Sturnus vulgaris,
4931,CRMY,Crested Myna,Acridotheres cristatellus,
4932,COMY,Common Myna,Acridotheres tristis,
4933,JAMY,Javan Myna,Acridotheres javanicus,
4934,HIMY,Hill Myna,Gracula religiosa,
4935,JUMY,Jungle Myna,Acridotheres fuscus,
4940,BOBO,Bobolink,Dolichonyx oryzivorus,
4950,BHCO,Brown-headed Cowbird,Molothrus ater,
4960,BROC,Bronzed Cowbird,Molothrus aeneus,
4961,SHCO,Shiny Cowbird,Molothrus bonariensis,
4970,YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,
4980,RWBL,Red-winged Blackbird,Agelaius phoeniceus,
5000,TRBL,Tricolored Blackbird,Agelaius tricolor,
5001,TSBL,Tawny-shouldered Blackbird,Agelaius humeralis,
5002,YSBL,Yellow-shouldered Blackbird,Agelaius xanthomus,Y
5010,EAME,Eastern Meadowlark,Sturnella magna,
5011,WEME,Western Meadowlark,Sturnella neglecta,
