scientific.name,original_scientific,genus,species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,maximum_longevity_y,weaning_d,incubation_d,fledging_age_d,longevity_y,male_maturity_d
Centronyx bairdii,Ammodramus bairdii,Ammodramus,bairdii,-999,4.35,1.5,4.6,-999,11.5,13,4.591666667,-999
Ammospiza leconteii,Ammodramus leconteii,Ammodramus,leconteii,-999,4,-999,4.083333333,-999,12.5,-999,4.083333333,-999
Rhynchophanes mccownii,Calcarius mccownii,Calcarius,mccownii,-999,3.5,2,-999,-999,12,12,-999,-999
Dryobates scalaris,Picoides scalaris,Picoides,scalaris,-999,4,-999,4.5,-999,-999,-999,4.5,-999
Uria aalge,,Uria,aalge,1825,1,1,42.83333333,-999,31.7,60,29.58333333,1825
Cyrtodactylus aaroni,,Cyrtodactylus,aaroni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Farancia abacura,,Farancia,abacura,-999,37.5,-999,19,-999,57,-999,18,-999
Hipposideros abae,,Hipposideros,abae,-999,1.5,1,-999,-999,-999,-999,-999,-999
Ameivula abaetensis,,Ameivula,abaetensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Liolaemus abaucan,,Liolaemus,abaucan,-999,-999,-999,-999,-999,-999,-999,-999,-999
Thraupis abbas,,Thraupis,abbas,-999,2,-999,-999,-999,-999,-999,-999,-999
Sula abbotti,,Sula,abbotti,-999,1,0.5,-999,-999,57,168,-999,-999
Malacocincla abbotti,,Malacocincla,abbotti,-999,3.9,-999,-999,-999,-999,-999,-999,-999
Phelsuma abbotti,,Phelsuma,abbotti,-999,2,-999,13.6,-999,55,-999,10,-999
Cinnyris abbotti,,Cinnyris,abbotti,-999,1.85,-999,-999,-999,-999,-999,-999,-999
Papasula abbotti,,Papasula,abbotti,-999,1,-999,-999,-999,-999,-999,-999,-999
Gonocephalus abbotti,,Gonocephalus,abbotti,-999,-999,-999,-999,-999,-999,-999,-999,-999
Microtus abbreviatus,,Microtus,abbreviatus,-999,2.785,4.56,-999,15.049,-999,-999,-999,-999
Liolaemus abdalai,,Liolaemus,abdalai,-999,1.85,1,-999,-999,-999,-999,-999,-999
Pristurus abdelkuri,,Pristurus,abdelkuri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinoyscincus abdictus,,Pinoyscincus,abdictus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ciconia abdimii,,Ciconia,abdimii,-999,2.25,1,21.6,-999,30.5,55,21.6,-999
Myotis abei,,Myotis,abei,730,-999,-999,28,-999,-999,-999,15,730
Icterus abeillei,,Icterus,abeillei,365.25,4.5,1,14,-999,13,13,11.6,-999
Abeillia abeillei,,Abeillia,abeillei,-999,2,-999,-999,-999,-999,-999,-999,-999
Orchesticus abeillei,,Orchesticus,abeillei,-999,2,-999,-999,-999,-999,-999,-999,-999
Arremon abeillei,,Arremon,abeillei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Coccothraustes abeillei,,Coccothraustes,abeillei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hesperiphona abeillei,,Hesperiphona,abeillei,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pongo abelii,,Pongo,abelii,2936.81,1.14,0.22,60,1088.8,-999,-999,59,2555
Cisticola aberdare,,Cisticola,aberdare,-999,2,-999,-999,-999,-999,-999,-999,-999
Cisticola aberrans,,Cisticola,aberrans,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Sciurus aberti,,Sciurus,aberti,356.5085,3.255,1.5,6.983333333,70,-999,-999,6.983333333,-999
Melozone aberti,,Melozone,aberti,365,3,1.5,8.6,-999,14,12.5,8.6,365
Petaurus abidi,,Petaurus,abidi,-999,1.02,-999,-999,-999,-999,-999,-999,-999
Chelonoidis abingdonii,,Chelonoidis,abingdonii,-999,10,3.333382148,177,-999,112,-999,70,-999
Campethera abingoni,,Campethera,abingoni,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Nothobachia ablephara,,Nothobachia,ablephara,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sasia abnormis,,Sasia,abnormis,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Apomys abrae,,Apomys,abrae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pipistrellus abramus,,Pipistrellus,abramus,-999,2.195,-999,2.908333333,-999,-999,-999,2.908333333,-999
Cynomops abrasus,,Cynomops,abrasus,-999,0.98,-999,-999,-999,-999,-999,-999,-999
Prosciurillus abstrusus,,Prosciurillus,abstrusus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aburria aburri,,Aburria,aburri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cecropis abyssinica,,Cecropis,abyssinica,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pseudoalcippe abyssinica,,Pseudoalcippe,abyssinica,-999,-999,-999,-999,-999,-999,-999,-999,-999
Genetta abyssinica,,Genetta,abyssinica,-999,-999,-999,13.80833333,-999,-999,-999,13.80833333,-999
Coracias abyssinicus,,Coracias,abyssinicus,-999,4,-999,-999,-999,-999,-999,-999,-999
Zosterops abyssinicus,,Zosterops,abyssinicus,-999,2.9,-999,-999,-999,-999,-999,-999,-999
Turdus abyssinicus,,Turdus,abyssinicus,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Bucorvus abyssinicus,,Bucorvus,abyssinicus,-999,2,-999,70,-999,39,73,40,-999
Turtur abyssinicus,,Turtur,abyssinicus,-999,2,-999,-999,-999,-999,-999,-999,-999
Dendropicos abyssinicus,,Dendropicos,abyssinicus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Arvicanthis abyssinicus,,Arvicanthis,abyssinicus,-999,-999,-999,2.325,-999,-999,-999,2.325,-999
Aegolius acadicus,,Aegolius,acadicus,365,5.5,1,17.5,-999,27,30.25,8.408333333,365
Uromastyx acanthinura,,Uromastyx,acanthinura,1461,13,1.2,24,-999,89,-999,11.4,1461
Sceloporus acanthinus,,Sceloporus,acanthinus,-999,6,1,-999,-999,-999,-999,-999,-999
Horornis acanthizoides,,Horornis,acanthizoides,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Ctenosaura acanthura,,Ctenosaura,acanthura,-999,-999,-999,-999,-999,-999,-999,-999,-999
Varanus acanthurus,,Varanus,acanthurus,-999,8,2,10,-999,100.25,-999,9.991666667,-999
Deroptyus accipitrinus,,Deroptyus,accipitrinus,-999,2.2,-999,21.8,-999,28,63,21.8,-999
Zimmerius acer,,Zimmerius,acer,-999,-999,-999,-999,-999,-999,-999,-999,-999
Gracilinanus aceramarcae,,Gracilinanus,aceramarcae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Mormopterus acetabulosus,,Mormopterus,acetabulosus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pristidactylus achalensis,,Pristidactylus,achalensis,-999,3,-999,-999,-999,-999,-999,-999,-999
Taphozous achates,,Taphozous,achates,152.2,1,1,20,60.88,-999,-999,12.5,136.98
Riama achlyens,,Riama,achlyens,-999,-999,-999,-999,-999,-999,-999,-999,-999
Scolecoseps acontias,,Scolecoseps,acontias,-999,-999,-999,-999,-999,-999,-999,-999,-999
Myoprocta acouchy,,Myoprocta,acouchy,250.18392,1.97,-999,14.8,53,-999,-999,10.075,304
Oligosoma acrinasum,,Oligosoma,acrinasum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pteralopex acrodonta,,Pteralopex,acrodonta,-999,-999,-999,-999,-999,-999,-999,-999,-999
Gerbillus acticola,,Gerbillus,acticola,-999,-999,-999,2.908333333,-999,-999,-999,2.908333333,-999
Thalasseus acuflavidus,,Thalasseus,acuflavidus,910.968,1.21,1,30.8,-999,23.5,32,27.16666667,1095
Agama aculeata,,Agama,aculeata,-999,13,-999,-999,-999,46.5,-999,-999,-999
Tachyglossus aculeatus,,Tachyglossus,aculeatus,552.425,1,0.58,50,185.04,-999,-999,49.5,548
Stenocercus aculeatus,,Stenocercus,aculeatus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Calidris acuminata,,Calidris,acuminata,-999,4,-999,-999,-999,-999,-999,-999,-999
Rhinolophus acuminatus,,Rhinolophus,acuminatus,-999,1,-999,-999,-999,-999,-999,-999,-999
Pachydactylus acuminatus,,Pachydactylus,acuminatus,-999,1,-999,-999,-999,49,-999,-999,-999
Nesospiza acunhae,,Nesospiza,acunhae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cryptochelys acuta,,Cryptochelys,acuta,3469.875,3,5,44.7,-999,130,-999,14,-999
Anas acuta,,Anas,acuta,240,7.7,1,27.417,-999,22.5,45,26.95,240
Poephila acuticauda,,Poephila,acuticauda,-999,4.9,-999,-999,-999,13,21,-999,-999
Sterna acuticauda,,Sterna,acuticauda,-999,3,-999,-999,-999,-999,-999,-999,-999
Apus acuticauda,,Apus,acuticauda,-999,2.9,-999,-999,-999,-999,-999,-999,-999
Thectocercus acuticaudatus,,Thectocercus,acuticaudatus,-999,2,-999,31,-999,-999,-999,23.5,-999
Lamprotornis acuticaudus,,Lamprotornis,acuticaudus,-999,3,-999,-999,-999,-999,-999,-999,-999
Trachylepis acutilabris,,Trachylepis,acutilabris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chordeiles acutipennis,,Chordeiles,acutipennis,-999,1.75,1,-999,-999,18.5,21,-999,-999
Pseudocolopteryx acutipennis,,Pseudocolopteryx,acutipennis,-999,3,-999,-999,-999,-999,-999,-999,-999
Aphaniotis acutirostris,,Aphaniotis,acutirostris,-999,2,3.5,-999,-999,-999,-999,-999,-999
Chelydra acutirostris,,Chelydra,acutirostris,3286.08,26.45,1,47,-999,77.5,-999,39.93333333,2191.44
Polychrus acutirostris,,Polychrus,acutirostris,-999,14.4,1,-999,-999,115.5,-999,-999,-999
Scytalopus acutirostris,,Scytalopus,acutirostris,-999,2.2,-999,-999,-999,-999,-999,-999,-999
Calandrella acutirostris,,Calandrella,acutirostris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Heteralocha acutirostris,,Heteralocha,acutirostris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Stymphalornis acutirostris,,Stymphalornis,acutirostris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Euspondylus acutirostris,,Euspondylus,acutirostris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eremias acutirostris,,Eremias,acutirostris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Balaenoptera acutorostrata,,Balaenoptera,acutorostrata,2740,1,1,50,167.34,-999,-999,48.5,2740
Anolis acutus,,Anolis,acutus,-999,1,6,-999,-999,-999,-999,-999,-999
Crocodylus acutus,,Crocodylus,acutus,3652.5,40,1,32.9,-999,90,-999,32.9,-999
Lagenorhynchus acutus,,Lagenorhynchus,acutus,2232.17624,1.22,0.4,27,547.848,-999,-999,27,-999
Deinagkistrodon acutus,,Deinagkistrodon,acutus,-999,13,-999,7.5,-999,16,-999,7.5,-999
Psammophylax acutus,,Psammophylax,acutus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sphenomorphus acutus,,Sphenomorphus,acutus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aquila adalberti,,Aquila,adalberti,1767.453,2.5,1,56,-999,43,71,44.5,-999
Crotalus adamanteus,,Crotalus,adamanteus,-999,15,-999,22.8,-999,-999,-999,22.8,-999
Rhinolophus adami,,Rhinolophus,adami,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pipistrellus adamsi,,Pipistrellus,adamsi,53.57,1.92,3,-999,44.8,-999,-999,-999,-999
Callosciurus adamsi,,Callosciurus,adamsi,413.84,1.97,-999,21.1,-999,-999,-999,12.64583333,-999
Gavia adamsii,,Gavia,adamsii,1278,2,1,30,-999,27.5,42.5,18,1278
Pelusios adansonii,,Pelusios,adansonii,-999,7,-999,4.7,-999,-999,-999,4.7,-999
Excalfactoria adansonii,,Excalfactoria,adansonii,-999,5.6,-999,-999,-999,-999,-999,-999,-999
Eumyias additus,,Eumyias,additus,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Setophaga adelaidae,,Setophaga,adelaidae,-999,2.4,-999,10.58333333,-999,-999,-999,10.58333333,-999
Morethia adelaidensis,,Morethia,adelaidensis,-999,3.2,-999,-999,-999,57.5,-999,-999,-999
Ctenophorus adelaidensis,,Ctenophorus,adelaidensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tiliqua adelaidensis,,Tiliqua,adelaidensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chalcomitra adelberti,,Chalcomitra,adelberti,-999,4,-999,-999,-999,-999,-999,-999,-999
Pygoscelis adeliae,,Pygoscelis,adeliae,1366.569,2,1,18,-999,34,51,18,-999
Cephalophus adersi,,Cephalophus,adersi,-999,1,1.37,15.2,-999,-999,-999,15,-999
Cheirogaleus adipicaudatus,,Cheirogaleus,adipicaudatus,416.47186,2.25,1,23.20833333,60.65,-999,-999,17,-999
Cyrtodactylus adleri,,Cyrtodactylus,adleri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sceloporus adleri,,Sceloporus,adleri,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pteropus admiralitatum,,Pteropus,admiralitatum,-999,1,-999,2.241666667,-999,-999,-999,2.241666667,-999
Spermophilus adocetus,,Spermophilus,adocetus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Kinyongia adolfifriderici,,Kinyongia,adolfifriderici,-999,-999,-999,-999,-999,-999,-999,-999,-999
Myzomela adolphinae,,Myzomela,adolphinae,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lampropholis adonis,,Lampropholis,adonis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lophornis adorabilis,,Lophornis,adorabilis,-999,2,-999,-999,-999,-999,-999,-999,-999
Mesalina adramitana,,Mesalina,adramitana,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acanthocercus adramitanus,,Acanthocercus,adramitanus,-999,9,-999,-999,-999,66.5,-999,-999,-999
Pristurus adrarensis,,Pristurus,adrarensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Platycercus adscitus,,Platycercus,adscitus,545.202,4.25,-999,-999,-999,20,35,-999,-999
Dicrurus adsimilis,,Dicrurus,adsimilis,-999,2.7,2.5,-999,-999,16,14,-999,-999
Ctenoblepharys adspersa,,Ctenoblepharys,adspersa,-999,-999,-999,-999,-999,-999,-999,-999,-999
Emoia adspersa,,Emoia,adspersa,-999,-999,-999,-999,-999,-999,-999,-999,-999
Liomys adspersus,,Liomys,adspersus,197.36994,3.2,1.44,1.75,-999,-999,-999,1.5,-999
Pternistis adspersus,,Pternistis,adspersus,-999,6.701492537,1,-999,-999,-999,-999,-999,-999
Tursiops aduncus,,Tursiops,aduncus,3287.25,1,0.5,53,592.62892,-999,-999,35,3689
Muscicapa adusta,,Muscicapa,adusta,-999,2.55,-999,-999,-999,-999,-999,-999,-999
Roraimia adusta,,Roraimia,adusta,-999,-999,-999,-999,-999,-999,-999,-999,-999
Monodelphis adusta,,Monodelphis,adusta,-999,-999,-999,4.1,-999,-999,-999,4.1,-999
Canis adustus,,Canis,adustus,296.18028,4.16,1.55,18.8,61.3,-999,-999,14,304
Antechinus adustus,,Antechinus,adustus,289.18,6,1,2,130,-999,-999,1,-999
Tryphomys adustus,,Tryphomys,adustus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Myotis adversus,,Myotis,adversus,231.09,1,2.5,-999,56.28,-999,-999,-999,-999
Plagiodontia aedium,,Plagiodontia,aedium,-999,1.14,-999,15.9,-999,-999,-999,9.916666667,-999
Troglodytes aedon,,Troglodytes,aedon,365,6.3,2,9,-999,14,16.5,7.1,365
Iduna aedon,,Iduna,aedon,-999,5.2,-999,-999,-999,-999,-999,-999,-999
Leptasthenura aegithaloides,,Leptasthenura,aegithaloides,-999,2.8,-999,-999,-999,-999,-999,-999,-999
Uromastyx aegyptia,,Uromastyx,aegyptia,-999,17,0.9,15.3,-999,87,-999,15.3,-999
Walterinnesia aegyptia,,Walterinnesia,aegyptia,-999,-999,-999,6.7,-999,-999,-999,3.7,-999
Alopochen aegyptiaca,,Alopochen,aegyptiaca,730,8.484375,1,25.5,-999,29,72.5,25.5,730
Tadarida aegyptiaca,,Tadarida,aegyptiaca,298.14,1,1,10,91.085,-999,-999,10,669.68
Rousettus aegyptiacus,,Rousettus,aegyptiacus,365,1.035,2,22.9,122,-999,-999,22.9,365
Caprimulgus aegyptius,,Caprimulgus,aegyptius,-999,2,2,-999,-999,-999,-999,-999,-999
Milvus aegyptius,,Milvus,aegyptius,1095,2.5,1,24,-999,32,42.75,23.75,1095
Pluvianus aegyptius,,Pluvianus,aegyptius,-999,2.4,1,-999,-999,29.5,32.5,-999,-999
Psammophis aegyptius,,Psammophis,aegyptius,-999,-999,-999,0.9,-999,-999,-999,0.9,-999
Myotis aelleni,,Myotis,aelleni,-999,-999,-999,-999,-999,-999,-999,-999,-999
Nyctimene aello,,Nyctimene,aello,-999,0.98,-999,-999,-999,-999,-999,-999,-999
Conostoma aemodium,,Conostoma,aemodium,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chloroceryle aenea,,Chloroceryle,aenea,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Schiffornis aenea,,Schiffornis,aenea,-999,2,-999,-999,-999,20.5,20,-999,-999
Ducula aenea,,Ducula,aenea,-999,1.2,-999,-999,-999,-999,-999,-999,-999
Murina aenea,,Murina,aenea,-999,-999,-999,-999,-999,-999,-999,-999,-999
Chamaesaura aenea,,Chamaesaura,aenea,-999,-999,-999,-999,-999,-999,-999,-999,-999
Emoia aenea,,Emoia,aenea,-999,-999,-999,-999,-999,-999,-999,-999,-999
Proscelotes aenea,,Proscelotes,aenea,-999,-999,-999,-999,-999,-999,-999,-999,-999
Metallura aeneocauda,,Metallura,aeneocauda,-999,-999,-999,-999,-999,-999,-999,-999,-999
Dicaeum aeneum,,Dicaeum,aeneum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Oligosoma aeneum,,Oligosoma,aeneum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Anolis aeneus,,Anolis,aeneus,-999,1.5,24.9,6.7,-999,47.5,-999,6.7,-999
Glaucis aeneus,,Glaucis,aeneus,-999,2,3,-999,-999,17.25,23,-999,-999
Sceloporus aeneus,,Sceloporus,aeneus,-999,5.8,2,-999,-999,37.5,-999,-999,-999
Molothrus aeneus,,Molothrus,aeneus,365.245,1,1,6,-999,12,11.18,6,547.74
Oxybelis aeneus,,Oxybelis,aeneus,-999,4,-999,15.2,-999,76.075,-999,10.1,-999
Dicrurus aeneus,,Dicrurus,aeneus,-999,2.8,-999,-999,-999,-999,-999,-999,-999
Rhogeessa aeneus,,Rhogeessa,aeneus,-999,1.69,-999,-999,-999,-999,-999,-999,-999
Zonosaurus aeneus,,Zonosaurus,aeneus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sapayoa aenigma,,Sapayoa,aenigma,-999,-999,-999,-999,-999,-999,-999,-999,-999
Carlia aenigma,,Carlia,aenigma,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tropidonophis aenigmaticus,,Tropidonophis,aenigmaticus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Nycticeius aenobarbus,,Nycticeius,aenobarbus,106.82,0.99,2.5,-999,30.32,-999,-999,-999,-999
Aethalops aequalis,,Aethalops,aequalis,-999,0.995,-999,-999,-999,-999,-999,-999,-999
Cyrtodactylus aequalis,,Cyrtodactylus,aequalis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Apaloderma aequatoriale,,Apaloderma,aequatoriale,-999,2,-999,-999,-999,-999,-999,-999,-999
Momotus aequatorialis,,Momotus,aequatorialis,-999,3.5,1,20.3,-999,21,30.5,10.4,-999
Rallus aequatorialis,,Rallus,aequatorialis,-999,8.5,-999,-999,-999,19,-999,-999,-999
Sheppardia aequatorialis,,Sheppardia,aequatorialis,-999,2,-999,-999,-999,-999,-999,-999,-999
Tachymarptis aequatorialis,,Tachymarptis,aequatorialis,-999,1.5,-999,-999,-999,-999,-999,-999,-999
Androdon aequatorialis,,Androdon,aequatorialis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pithecia aequatorialis,,Pithecia,aequatorialis,-999,-999,-999,14.9,-999,-999,-999,14.9,-999
Anolis aequatorialis,,Anolis,aequatorialis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Molossops aequatorianus,,Molossops,aequatorianus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Suncus aequatorius,,Suncus,aequatorius,-999,2.99,-999,-999,-999,-999,-999,-999,-999
Procellaria aequinoctialis,,Procellaria,aequinoctialis,2374.125,1,0.874045802,30,-999,60,95,30,-999
Geothlypis aequinoctialis,,Geothlypis,aequinoctialis,-999,2,-999,-999,-999,-999,-999,-999,-999
Buteogallus aequinoctialis,,Buteogallus,aequinoctialis,-999,1,-999,-999,-999,-999,-999,-999,-999
Acrocephalus aequinoctialis,,Acrocephalus,aequinoctialis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pteruthius aeralatus,,Pteruthius,aeralatus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lygisaurus aeratus,,Lygisaurus,aeratus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ceuthmochares aereus,,Ceuthmochares,aereus,-999,3,-999,-999,-999,-999,-999,-999,-999
Lerista aericeps,,Lerista,aericeps,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pipistrellus aero,,Pipistrellus,aero,-999,-999,-999,-999,-999,-999,-999,-999,-999
Phoniscus aerosa,,Phoniscus,aerosa,-999,-999,-999,-999,-999,-999,-999,-999,-999
Akodon aerosus,,Akodon,aerosus,82.1772,5,3.6,-999,-999,-999,-999,-999,-999
Melomys aerosus,,Melomys,aerosus,-999,1.5,-999,-999,-999,-999,-999,-999,-999
Dicaeum aeruginosum,,Dicaeum,aeruginosum,-999,2.8,-999,-999,-999,-999,-999,-999,-999
Circus aeruginosus,,Circus,aeruginosus,819.335,4.75,1,20.1,-999,34.5,37.5,18.2,730
Colaptes aeruginosus,,Colaptes,aeruginosus,-999,3,-999,-999,-999,-999,-999,-999,-999
Cacomantis aeruginosus,,Cacomantis,aeruginosus,-999,1,-999,-999,-999,-999,-999,-999,-999
Erythrolamprus aesculapii,,Erythrolamprus,aesculapii,-999,5.5,-999,-999,-999,-999,-999,-999,-999
Tytthoscincus aesculeticola,,Tytthoscincus,aesculeticola,-999,-999,-999,-999,-999,-999,-999,-999,-999
Setophaga aestiva,,Setophaga,aestiva,365,4.405,1.075,11,-999,11,10,8.917,365
Philodryas aestiva,,Philodryas,aestiva,-999,11,-999,-999,-999,-999,-999,-999,-999
Amazona aestiva,,Amazona,aestiva,-999,3,-999,49,-999,29.25,-999,49,-999
Peucaea aestivalis,,Peucaea,aestivalis,365,4,2,3.916666667,-999,13,9,3,365
Opheodrys aestivus,,Opheodrys,aestivus,730,6.6,1,8,-999,45.5,-999,7.2,684.62
Sciurus aestuans,,Sciurus,aestuans,-999,2.3,-999,8.066666667,-999,-999,-999,8.066666667,-999
Hylomyscus aeta,,Hylomyscus,aeta,-999,4.18,-999,-999,-999,-999,-999,-999,-999
Phaethon aethereus,,Phaethon,aethereus,-999,1,1,17.6,-999,44,86.5,10,-999
Nyctibius aethereus,,Nyctibius,aethereus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Hirundo aethiopica,,Hirundo,aethiopica,-999,-999,-999,-999,-999,-999,-999,-999,-999
Phacochoerus aethiopicus,,Phacochoerus,aethiopicus,597.8539,3.365,1.305,18.8,106.33582,-999,-999,18.8,-999
Paraechinus aethiopicus,,Paraechinus,aethiopicus,-999,3.49,1,6.3,50,-999,-999,5.329166667,-999
Threskiornis aethiopicus,,Threskiornis,aethiopicus,1090.404,2.24,1,37,-999,28.5,37.5,29.2,-999
Laniarius aethiopicus,,Laniarius,aethiopicus,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Rhamnophis aethiopissa,,Rhamnophis,aethiopissa,-999,6.5,-999,-999,-999,-999,-999,-999,-999
Chlorocebus aethiops,,Chlorocebus,aethiops,1318.86,1,1,46,212.74764,-999,-999,30.69166667,1825
Thamnophilus aethiops,,Thamnophilus,aethiops,-999,2,-999,-999,-999,-999,-999,-999,-999
Myrmecocichla aethiops,,Myrmecocichla,aethiops,-999,-999,-999,-999,-999,-999,-999,-999,-999
Cinnyris afer,,Cinnyris,afer,-999,2,3,-999,-999,15,-999,-999,-999
Orycteropus afer,,Orycteropus,afer,755.15,1.03,1,29.8,102.56932,-999,-999,24,730
Pternistis afer,,Pternistis,afer,-999,6,-999,-999,-999,-999,-999,-999,-999
Ptilostomus afer,,Ptilostomus,afer,-999,5,-999,-999,-999,-999,-999,-999,-999
Melaniparus afer,,Melaniparus,afer,-999,3.4,-999,-999,-999,-999,-999,-999,-999
Euplectes afer,,Euplectes,afer,-999,3.15,-999,-999,-999,-999,-999,-999,-999
Sphenoeacus afer,,Sphenoeacus,afer,-999,2.2,-999,-999,-999,-999,-999,-999,-999
Turtur afer,,Turtur,afer,-999,2,-999,-999,-999,-999,-999,-999,-999
Nilaus afer,,Nilaus,afer,-999,2,-999,-999,-999,-999,-999,-999,-999
Rhoptropus afer,,Rhoptropus,afer,-999,-999,-999,-999,-999,-999,-999,-999,-999
Trochalopteron affine,,Trochalopteron,affine,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Malacopteron affine,,Malacopteron,affine,-999,2,-999,-999,-999,-999,-999,-999,-999
Trachylepis affinis,,Trachylepis,affinis,-999,2.7,7.5,-999,-999,-999,-999,-999,-999
Pseudonaja affinis,,Pseudonaja,affinis,-999,17.35,2,9.08,-999,53,-999,9.08,-999
Turdoides affinis,,Turdoides,affinis,-999,3.5,2,-999,-999,15.5,-999,-999,-999
Tephrodornis affinis,,Tephrodornis,affinis,-999,3,2,6.25,-999,-999,-999,6.25,-999
Apus affinis,,Apus,affinis,-999,2.4,2,-999,-999,22.1,40.5,-999,-999
Rhinolophus affinis,,Rhinolophus,affinis,-999,0.99,2,-999,-999,-999,-999,-999,-999
Aythya affinis,,Aythya,affinis,455.101,9.955,1,18.8,-999,24.4,48,18.31666667,365
Hypsiglena affinis,,Hypsiglena,affinis,-999,5,-999,12.2,-999,52.5,-999,10.75,-999
Seicercus affinis,,Seicercus,affinis,-999,4.5,-999,-999,-999,-999,-999,-999,-999
Sarothrura affinis,,Sarothrura,affinis,-999,4,-999,-999,-999,-999,-999,-999,-999
Phylloscopus affinis,,Phylloscopus,affinis,-999,3.9,-999,-999,-999,-999,-999,-999,-999
Cyanocorax affinis,,Cyanocorax,affinis,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Ninox affinis,,Ninox,affinis,-999,3.2,-999,-999,-999,24,-999,-999,-999
Melithreptus affinis,,Melithreptus,affinis,-999,3,-999,-999,-999,-999,-999,-999,-999
Anilios affinis,,Anilios,affinis,-999,3,-999,-999,-999,-999,-999,-999,-999
Euphonia affinis,,Euphonia,affinis,-999,2.75,-999,-999,-999,-999,-999,-999,-999
Penelopides affinis,,Penelopides,affinis,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Scytalopus affinis,,Scytalopus,affinis,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Caprimulgus affinis,,Caprimulgus,affinis,-999,2,-999,-999,-999,-999,-999,-999,-999
Treron affinis,,Treron,affinis,-999,2,-999,-999,-999,13.5,-999,-999,-999
Lepidocolaptes affinis,,Lepidocolaptes,affinis,-999,2,-999,6.083333333,-999,-999,19,6.083333333,-999
Climacteris affinis,,Climacteris,affinis,-999,1.85,-999,-999,-999,-999,-999,-999,-999
Batrachostomus affinis,,Batrachostomus,affinis,-999,1.4,-999,-999,-999,-999,-999,-999,-999
Arachnothera affinis,,Arachnothera,affinis,-999,1.4,-999,-999,-999,-999,-999,-999,-999
