scientific.name,original_scientific,genus,species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,maximum_longevity_y,weaning_d,incubation_d,fledging_age_d,longevity_y,male_maturity_d
Liolaemus canqueli,,Liolaemus,canqueli,-999,-999,-999,-999,-999,-999,-999,-999,-999
Malacomys cansdalei,,Malacomys,cansdalei,-999,2.91,-999,-999,-999,-999,-999,-999,-999
Sorex cansulus,,Sorex,cansulus,-999,6.4,2.5,3,-999,-999,-999,2,-999
Ochotona cansus,,Ochotona,cansus,413.84,3.29,2.25,5,18,-999,-999,5,-999
Telespiza cantans,,Telespiza,cantans,365.25,3,2,12,-999,16,24,11.5,-999
Euodice cantans,,Euodice,cantans,-999,4.6,-999,10,-999,-999,-999,10,-999
Cisticola cantans,,Cisticola,cantans,-999,2.75,-999,-999,-999,-999,-999,-999,-999
Phylloscopus cantator,,Phylloscopus,cantator,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Hypocnemis cantator,,Hypocnemis,cantator,-999,2,-999,-999,-999,-999,-999,-999,-999
Cubophis cantherigerus,,Cubophis,cantherigerus,-999,24,-999,-999,-999,78.5,-999,-999,-999
Sylvia cantillans,,Sylvia,cantillans,-999,4.05,-999,-999,-999,-999,-999,-999,-999
Mirafra cantillans,,Mirafra,cantillans,-999,2.8,-999,-999,-999,-999,-999,-999,-999
Pericrocotus cantonensis,,Pericrocotus,cantonensis,-999,3.5,-999,-999,-999,-999,-999,-999,-999
Orthriophis cantoris,,Orthriophis,cantoris,-999,7.5,-999,-999,-999,93,-999,-999,-999
Hydrophis cantoris,,Hydrophis,cantoris,-999,4.5,-999,-999,-999,-999,-999,-999,-999
Acanthodactylus cantoris,,Acanthodactylus,cantoris,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aplonis cantoroides,,Aplonis,cantoroides,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Gyalopion canum,,Gyalopion,canum,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Spermophilus canus,,Spermophilus,canus,365.25,8,1,-999,-999,-999,-999,-999,730.5
Picus canus,,Picus,canus,-999,7.5,1,7.7,-999,15.5,25,7.666666667,-999
Larus canus,,Larus,canus,1092.702,3,1,33.7,-999,24.15,33,27.91833333,730
Cansumys canus,,Cansumys,canus,-999,4.24,-999,4.575,29.23,-999,-999,4.575,-999
Agapornis canus,,Agapornis,canus,363.468,4,-999,-999,-999,23.1,43,-999,-999
Lenothrix canus,,Lenothrix,canus,-999,2.91,-999,3.825,-999,-999,-999,3.8,-999
Scytalopus canus,,Scytalopus,canus,-999,2.2,-999,-999,-999,-999,-999,-999,-999
Eropeplus canus,,Eropeplus,canus,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tropidophis canus,,Tropidophis,canus,-999,-999,-999,16.1,-999,-999,-999,10.05,-999
Rhinolophus canuti,,Rhinolophus,canuti,-999,-999,-999,-999,-999,-999,-999,-999,-999
Calidris canutus,,Calidris,canutus,1001.835,3.935,1,26.66666667,-999,21.95,18,16.08333333,1095
Myotis capaccinii,,Myotis,capaccinii,410.255,1,1,33,41.995,-999,-999,22,502
Leposoma caparensis,,Leposoma,caparensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Liolaemus caparensis,,Liolaemus,caparensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Treron capellei,,Treron,capellei,-999,2,-999,-999,-999,-999,-999,-999,-999
Daption capense,,Daption,capense,2191.5,1,1,25,-999,44,48.5,20,-999
Lycophidion capense,,Lycophidion,capense,-999,6.5,-999,-999,-999,82.5,-999,-999,-999
Glaucidium capense,,Glaucidium,capense,-999,2.5,-999,-999,-999,-999,-999,-999,-999
Pedetes capensis,,Pedetes,capensis,1034,1,3.6,20.04166667,46,-999,-999,14.5,-999
Lepus capensis,,Lepus,capensis,200.04564,2.51,3.14,8.9,30.25044,-999,-999,8.9,-999
Zosterops capensis,,Zosterops,capensis,196.954,2.8,3,10,-999,11,12.5,8,30.44
Georychus capensis,,Georychus,capensis,304.18,5.94,2,11.2,17.34852,-999,-999,3,304
Mellivora capensis,,Mellivora,capensis,-999,2.33,2,31.3,23.86,-999,-999,26.5,-999
Microparra capensis,,Microparra,capensis,-999,3,1.5,-999,-999,23,-999,-999,-999
Melomys capensis,,Melomys,capensis,172.31456,2.2,1.3,-999,35.67044,-999,-999,-999,-999
Anas capensis,,Anas,capensis,-999,8.401114206,1,-999,-999,24,56,-999,-999
Pternistis capensis,,Pternistis,capensis,-999,7.2,1,-999,-999,-999,-999,-999,-999
Asio capensis,,Asio,capensis,-999,2.75,1,-999,-999,28,-999,-999,-999
Procavia capensis,,Procavia,capensis,500,2.44,1,14.80833333,88.25758,-999,-999,14,500
Phalacrocorax capensis,,Phalacrocorax,capensis,-999,2.4,1,-999,-999,23.8,63,-999,-999
Hemicordylus capensis,,Hemicordylus,capensis,-999,2,1,-999,-999,-999,-999,-999,-999
Morus capensis,,Morus,capensis,1272.138,1,1,8,-999,44,97,8,-999
Rhinolophus capensis,,Rhinolophus,capensis,380.74,0.995,1,7,56,-999,-999,5.5,365.25
Delphinus capensis,,Delphinus,capensis,1674.58872,0.99,0.42,29.025,319.578,-999,-999,20,4017.75
Gonionotophis capensis,,Gonionotophis,capensis,-999,9,-999,10.9,-999,95,-999,10.9,-999
Thelotornis capensis,,Thelotornis,capensis,-999,7.5,-999,-999,-999,56,-999,-999,-999
Corvus capensis,,Corvus,capensis,-999,4,-999,-999,-999,-999,-999,-999,-999
Macronyx capensis,,Macronyx,capensis,-999,3.2,-999,-999,-999,-999,-999,-999,-999
Tyto capensis,,Tyto,capensis,-999,3.2,-999,-999,-999,42,32,-999,-999
Aparallactus capensis,,Aparallactus,capensis,-999,3,-999,-999,-999,-999,-999,-999,-999
Euplectes capensis,,Euplectes,capensis,-999,2.9,-999,-999,-999,-999,-999,-999,-999
Zonotrichia capensis,,Zonotrichia,capensis,-999,2.8,-999,5,-999,-999,11,5,-999
Emberiza capensis,,Emberiza,capensis,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Ploceus capensis,,Ploceus,capensis,-999,2.7,-999,-999,-999,-999,-999,-999,-999
Aonyx capensis,,Aonyx,capensis,368.231,2.56,-999,14.2,53.1315,-999,-999,14,365
Smithornis capensis,,Smithornis,capensis,-999,2.4,-999,-999,-999,-999,-999,-999,-999
Batis capensis,,Batis,capensis,-999,2.05,-999,-999,-999,-999,-999,-999,-999
Oena capensis,,Oena,capensis,-999,2.005,-999,-999,-999,-999,-999,-999,-999
Burhinus capensis,,Burhinus,capensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Motacilla capensis,,Motacilla,capensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Bubo capensis,,Bubo,capensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Platysaurus capensis,,Platysaurus,capensis,-999,2,-999,-999,-999,-999,-999,-999,-999
Neoromicia capensis,,Neoromicia,capensis,-999,1.96,-999,-999,-999,-999,-999,-999,-999
Pachydactylus capensis,,Pachydactylus,capensis,-999,1,-999,-999,-999,49,-999,-999,-999
Pelargopsis capensis,,Pelargopsis,capensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Turnagra capensis,,Turnagra,capensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pycnonotus capensis,,Pycnonotus,capensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bucco capensis,,Bucco,capensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lygodactylus capensis,,Lygodactylus,capensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Ichnotropis capensis,,Ichnotropis,capensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Scelotes capensis,,Scelotes,capensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Trachylepis capensis,,Trachylepis,capensis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Streptopelia capicola,,Streptopelia,capicola,-999,2,4.5,-999,-999,14,16.5,-999,-999
Phalacrocorax capillatus,,Phalacrocorax,capillatus,-999,3,-999,-999,-999,-999,-999,-999,-999
Liolaemus capillitas,,Liolaemus,capillitas,-999,-999,-999,-999,-999,-999,-999,-999,-999
Nesocharis capistrata,,Nesocharis,capistrata,-999,4,-999,-999,-999,-999,-999,-999,-999
Tantilla capistrata,,Tantilla,capistrata,-999,2,-999,-999,-999,-999,-999,-999,-999
Heterophasia capistrata,,Heterophasia,capistrata,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pellorneum capistratum,,Pellorneum,capistratum,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pteropus capistratus,,Pteropus,capistratus,-999,-999,1,-999,-999,-999,-999,-999,-999
Campylorhynchus capistratus,,Campylorhynchus,capistratus,-999,4.25,-999,-999,-999,-999,-999,-999,-999
Muscisaxicola capistratus,,Muscisaxicola,capistratus,-999,3,-999,-999,-999,-999,-999,-999,-999
Trichoglossus capistratus,,Trichoglossus,capistratus,-999,2,-999,16.1,-999,25,52.5,16.1,-999
Pezopetes capitalis,,Pezopetes,capitalis,-999,1.5,-999,-999,-999,-999,-999,-999,-999
Grallaria capitalis,,Grallaria,capitalis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aphanotriccus capitalis,,Aphanotriccus,capitalis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Poecilotriccus capitalis,,Poecilotriccus,capitalis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sterrhoptilus capitalis,,Sterrhoptilus,capitalis,-999,-999,-999,-999,-999,-999,-999,-999,-999
