Binomial,scientific.name,original.scientific,TrophicLevel,TrophicNiche,ForagingNiche
Catreus_wallichi,Catreus wallichi,,Herbivore,Herbivore terrestrial,Herbivore ground
Celeus_brachyurus,Celeus brachyurus,,Carnivore,Invertivore,Invertivore bark
Celeus_castaneus,Celeus castaneus,,Carnivore,Invertivore,Invertivore bark
Celeus_elegans,Celeus elegans,,Carnivore,Invertivore,Invertivore bark
Celeus_flavescens,Celeus flavescens,,Carnivore,Invertivore,Invertivore bark
Celeus_flavus,Celeus flavus,,Carnivore,Invertivore,Invertivore bark
Celeus_grammicus,Celeus grammicus,,Omnivore,Invertivore,Invertivore bark
Celeus_loricatus,Celeus loricatus,,Carnivore,Invertivore,Invertivore bark
Celeus_lugubris,Celeus lugubris,,Carnivore,Invertivore,Invertivore bark
Celeus_obrieni,Celeus obrieni,,Carnivore,Invertivore,Invertivore bark
Celeus_spectabilis,Celeus spectabilis,,Carnivore,Invertivore,Invertivore bark
Celeus_torquatus,Celeus torquatus,,Omnivore,Invertivore,Invertivore bark
Celeus_undatus,Celeus undatus,,Carnivore,Invertivore,Invertivore bark
Centrocercus_minimus,Centrocercus minimus,,Herbivore,Herbivore terrestrial,Herbivore ground
Centrocercus_urophasianus,Centrocercus urophasianus,,Herbivore,Herbivore terrestrial,Herbivore ground
Centropus_andamanensis,Centropus andamanensis,,Carnivore,Invertivore,Invertivore ground
Centropus_anselli,Centropus anselli,,Carnivore,Invertivore,Invertivore ground
Centropus_ateralbus,Centropus ateralbus,,Carnivore,Invertivore,Invertivore glean arboreal
Centropus_bengalensis,Centropus bengalensis,,Carnivore,Invertivore,Invertivore ground
Centropus_bernsteini,Centropus bernsteini,,Carnivore,Invertivore,Invertivore ground
Centropus_celebensis,Centropus celebensis,,Carnivore,Invertivore,Generalist
Centropus_chalybeus,Centropus chalybeus,,Carnivore,Invertivore,Invertivore ground
Centropus_chlororhynchus,Centropus chlororhynchus,,Carnivore,Invertivore,Invertivore ground
