Binomial,scientific.name,original.scientific,TrophicLevel,TrophicNiche,ForagingNiche
Abeillia_abeillei,Abeillia abeillei,,Herbivore,Nectarivore,Nectarivore aerial
Abroscopus_albogularis,Abroscopus albogularis,,Carnivore,Invertivore,Invertivore glean arboreal
Abroscopus_schisticeps,Abroscopus schisticeps,,Carnivore,Invertivore,Invertivore glean arboreal
Abroscopus_superciliaris,Abroscopus superciliaris,,Carnivore,Invertivore,Invertivore glean arboreal
Aburria_aburri,Aburria aburri,,Herbivore,Frugivore,Fugivore glean
Acanthagenys_rufogularis,Acanthagenys rufogularis,,Herbivore,Omnivore,NA
Acanthidops_bairdii,Acanthidops bairdii,,Omnivore,Invertivore,Invertivore glean arboreal
Acanthisitta_chloris,Acanthisitta chloris,,Carnivore,Invertivore,Invertivore bark
Acanthiza_apicalis,Acanthiza apicalis,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_chrysorrhoa,Acanthiza chrysorrhoa,,Carnivore,Invertivore,Invertivore ground
Acanthiza_ewingii,Acanthiza ewingii,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_inornata,Acanthiza inornata,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_iredalei,Acanthiza iredalei,,Carnivore,Invertivore,Generalist
Acanthiza_katherina,Acanthiza katherina,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_lineata,Acanthiza lineata,,Omnivore,Invertivore,Invertivore glean arboreal
Acanthiza_murina,Acanthiza murina,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_nana,Acanthiza nana,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_pusilla,Acanthiza pusilla,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_reguloides,Acanthiza reguloides,,Carnivore,Invertivore,Generalist
Acanthiza_robustirostris,Acanthiza robustirostris,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthiza_uropygialis,Acanthiza uropygialis,,Carnivore,Invertivore,Invertivore glean arboreal
Acanthorhynchus_superciliosus,Acanthorhynchus superciliosus,,Herbivore,Nectarivore,Nectarivore glean
Acanthorhynchus_tenuirostris,Acanthorhynchus tenuirostris,,Omnivore,Nectarivore,Nectarivore glean
Acanthornis_magna,Acanthornis magna,,Carnivore,Invertivore,Generalist
Accipiter_albogularis,Accipiter albogularis,,Carnivore,Vertivore,Vertivore perch
Accipiter_badius,Accipiter badius,,Carnivore,Vertivore,Vertivore perch
Accipiter_bicolor,Accipiter bicolor,,Carnivore,Vertivore,Vertivore perch
Accipiter_brachyurus,Accipiter brachyurus,,Carnivore,Vertivore,Vertivore perch
Accipiter_brevipes,Accipiter brevipes,,Carnivore,Vertivore,Vertivore air to surface
Accipiter_butleri,Accipiter butleri,,Carnivore,Vertivore,Vertivore perch
Accipiter_castanilius,Accipiter castanilius,,Carnivore,Vertivore,Vertivore perch
Accipiter_chilensis,Accipiter chilensis,,Carnivore,Vertivore,Vertivore perch
Accipiter_chionogaster,Accipiter chionogaster,,Carnivore,Vertivore,Vertivore perch
Accipiter_cirrocephalus,Accipiter cirrocephalus,,Carnivore,Vertivore,Generalist
Accipiter_collaris,Accipiter collaris,,Carnivore,Vertivore,Vertivore perch
Accipiter_cooperii,Accipiter cooperii,,Carnivore,Vertivore,Generalist
Accipiter_erythrauchen,Accipiter erythrauchen,,Carnivore,Vertivore,Vertivore perch
Accipiter_erythronemius,Accipiter erythronemius,,Carnivore,Vertivore,Vertivore perch
Accipiter_erythropus,Accipiter erythropus,,Carnivore,Vertivore,Vertivore perch
Accipiter_fasciatus,Accipiter fasciatus,,Carnivore,Vertivore,Vertivore perch
Accipiter_francesiae,Accipiter francesiae,,Carnivore,Invertivore,Invertivore sally surface
Accipiter_gentilis,Accipiter gentilis,,Carnivore,Vertivore,Vertivore perch
Accipiter_griseiceps,Accipiter griseiceps,,Carnivore,Vertivore,Vertivore perch
Accipiter_gularis,Accipiter gularis,,Carnivore,Vertivore,Vertivore perch
Accipiter_gundlachi,Accipiter gundlachi,,Carnivore,Vertivore,Generalist
Accipiter_haplochrous,Accipiter haplochrous,,Carnivore,Vertivore,Vertivore perch
Accipiter_henicogrammus,Accipiter henicogrammus,,Carnivore,Vertivore,Vertivore perch
Accipiter_henstii,Accipiter henstii,,Carnivore,Vertivore,Vertivore perch
Accipiter_imitator,Accipiter imitator,,Carnivore,Vertivore,Vertivore perch
Accipiter_luteoschistaceus,Accipiter luteoschistaceus,,Carnivore,Vertivore,Vertivore perch
Accipiter_madagascariensis,Accipiter madagascariensis,,Carnivore,Vertivore,Vertivore perch
Accipiter_melanochlamys,Accipiter melanochlamys,,Carnivore,Vertivore,Vertivore perch
Accipiter_melanoleucus,Accipiter melanoleucus,,Carnivore,Vertivore,Generalist
Accipiter_meyerianus,Accipiter meyerianus,,Carnivore,Vertivore,Generalist
Accipiter_minullus,Accipiter minullus,,Carnivore,Vertivore,Vertivore aerial
Accipiter_nanus,Accipiter nanus,,Carnivore,Invertivore,Invertivore sally ground
Accipiter_nisus,Accipiter nisus,,Carnivore,Vertivore,Vertivore perch
Accipiter_novaehollandiae,Accipiter novaehollandiae,,Carnivore,Vertivore,Vertivore perch
Accipiter_ovampensis,Accipiter ovampensis,,Carnivore,Vertivore,Generalist
Accipiter_poliocephalus,Accipiter poliocephalus,,Carnivore,Vertivore,Vertivore perch
Accipiter_poliogaster,Accipiter poliogaster,,Carnivore,Vertivore,Vertivore perch
Accipiter_princeps,Accipiter princeps,,Carnivore,Vertivore,Vertivore perch
Accipiter_rhodogaster,Accipiter rhodogaster,,Carnivore,Vertivore,Vertivore perch
Accipiter_rufitorques,Accipiter rufitorques,,Carnivore,Vertivore,Generalist
Accipiter_rufiventris,Accipiter rufiventris,,Carnivore,Vertivore,Generalist
Accipiter_soloensis,Accipiter soloensis,,Carnivore,Vertivore,Vertivore perch
Accipiter_striatus,Accipiter striatus,,Carnivore,Vertivore,Generalist
Accipiter_superciliosus,Accipiter superciliosus,,Carnivore,Vertivore,Vertivore aerial
Accipiter_tachiro,Accipiter tachiro,,Carnivore,Vertivore,Generalist
Accipiter_toussenelii,Accipiter toussenelii,,Carnivore,Vertivore,Vertivore perch
Accipiter_trinotatus,Accipiter trinotatus,,Carnivore,Vertivore,Vertivore perch
Accipiter_trivirgatus,Accipiter trivirgatus,,Carnivore,Vertivore,Vertivore perch
Accipiter_ventralis,Accipiter ventralis,,Carnivore,Vertivore,Vertivore perch
Accipiter_virgatus,Accipiter virgatus,,Carnivore,Vertivore,Generalist
Aceros_cassidix,Aceros cassidix,,Herbivore,Frugivore,Fugivore glean
Aceros_comatus,Aceros comatus,,Carnivore,Omnivore,NA
Aceros_corrugatus,Aceros corrugatus,,Herbivore,Frugivore,Fugivore glean
Aceros_everetti,Aceros everetti,,Herbivore,Frugivore,Fugivore glean
Aceros_leucocephalus,Aceros leucocephalus,,Herbivore,Frugivore,Fugivore glean
Aceros_narcondami,Aceros narcondami,,Herbivore,Frugivore,Fugivore glean
Aceros_nipalensis,Aceros nipalensis,,Herbivore,Frugivore,Fugivore glean
Aceros_plicatus,Aceros plicatus,,Herbivore,Frugivore,Fugivore glean
Aceros_subruficollis,Aceros subruficollis,,Herbivore,Frugivore,Fugivore glean
Aceros_undulatus,Aceros undulatus,,Herbivore,Frugivore,Fugivore glean
Aceros_waldeni,Aceros waldeni,,Herbivore,Frugivore,Fugivore glean
Achaetops_pycnopygius,Achaetops pycnopygius,,Carnivore,Invertivore,Invertivore glean arboreal
Acridotheres_albocinctus,Acridotheres albocinctus,,Omnivore,Omnivore,NA
Acridotheres_cinereus,Acridotheres cinereus,,Omnivore,Omnivore,NA
Acridotheres_cristatellus,Acridotheres cristatellus,,Omnivore,Omnivore,NA
Acridotheres_fuscus,Acridotheres fuscus,,Omnivore,Omnivore,NA
Acridotheres_ginginianus,Acridotheres ginginianus,,Omnivore,Omnivore,NA
Acridotheres_grandis,Acridotheres grandis,,Omnivore,Invertivore,Invertivore ground
Acridotheres_tristis,Acridotheres tristis,,Carnivore,Omnivore,NA
Acrobatornis_fonsecai,Acrobatornis fonsecai,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_aedon,Acrocephalus aedon,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_aequinoctialis,Acrocephalus aequinoctialis,,Carnivore,Invertivore,Invertivore ground
Acrocephalus_agricola,Acrocephalus agricola,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_arundinaceus,Acrocephalus arundinaceus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_atyphus,Acrocephalus atyphus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_australis,Acrocephalus australis,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_baeticatus,Acrocephalus baeticatus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_bistrigiceps,Acrocephalus bistrigiceps,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_brevipennis,Acrocephalus brevipennis,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_caffer,Acrocephalus caffer,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_concinens,Acrocephalus concinens,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_dumetorum,Acrocephalus dumetorum,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_familiaris,Acrocephalus familiaris,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_gracilirostris,Acrocephalus gracilirostris,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_griseldis,Acrocephalus griseldis,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_kerearako,Acrocephalus kerearako,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_luscinius,Acrocephalus luscinius,,Carnivore,Invertivore,Invertivore ground
Acrocephalus_melanopogon,Acrocephalus melanopogon,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_mendanae,Acrocephalus mendanae,,Carnivore,Invertivore,Generalist
Acrocephalus_newtoni,Acrocephalus newtoni,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_orinus,Acrocephalus orinus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_paludicola,Acrocephalus paludicola,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_palustris,Acrocephalus palustris,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_rehsei,Acrocephalus rehsei,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_rimatarae,Acrocephalus rimatarae,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_rodericanus,Acrocephalus rodericanus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_rufescens,Acrocephalus rufescens,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_schoenobaenus,Acrocephalus schoenobaenus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_scirpaceus,Acrocephalus scirpaceus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_sechellensis,Acrocephalus sechellensis,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_sorghophilus,Acrocephalus sorghophilus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_stentoreus,Acrocephalus stentoreus,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_syrinx,Acrocephalus syrinx,,Carnivore,Invertivore,Invertivore ground
Acrocephalus_taiti,Acrocephalus taiti,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_tangorum,Acrocephalus tangorum,,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_vaughani,Acrocephalus vaughani,,Carnivore,Invertivore,Invertivore glean arboreal
Acropternis_orthonyx,Acropternis orthonyx,,Carnivore,Invertivore,Invertivore glean arboreal
Acryllium_vulturinum,Acryllium vulturinum,,Herbivore,Omnivore,NA
Actenoides_bougainvillei,Actenoides bougainvillei,,Carnivore,Invertivore,Invertivore sally ground
Actenoides_concretus,Actenoides concretus,,Carnivore,Invertivore,Invertivore sally ground
Actenoides_hombroni,Actenoides hombroni,,Carnivore,Invertivore,Invertivore sally ground
Actenoides_lindsayi,Actenoides lindsayi,,Carnivore,Invertivore,Invertivore sally ground
Actenoides_monachus,Actenoides monachus,,Carnivore,Invertivore,Invertivore sally ground
Actenoides_princeps,Actenoides princeps,,Carnivore,Invertivore,Invertivore sally ground
Actinodura_egertoni,Actinodura egertoni,,Omnivore,Invertivore,Invertivore glean arboreal
Actinodura_morrisoniana,Actinodura morrisoniana,,Carnivore,Invertivore,Invertivore glean arboreal
Actinodura_nipalensis,Actinodura nipalensis,,Omnivore,Invertivore,Invertivore glean arboreal
Actinodura_ramsayi,Actinodura ramsayi,,Carnivore,Invertivore,Invertivore glean arboreal
Actinodura_sodangorum,Actinodura sodangorum,,Carnivore,Invertivore,Invertivore glean arboreal
Actinodura_souliei,Actinodura souliei,,Carnivore,Invertivore,Invertivore glean arboreal
Actinodura_waldeni,Actinodura waldeni,,Omnivore,Omnivore,NA
Actitis_hypoleucos,Actitis hypoleucos,,Carnivore,Aquatic predator,Aquatic ground
Actitis_macularius,Actitis macularius,,Carnivore,Aquatic predator,Aquatic ground
Actophilornis_africanus,Actophilornis africanus,,Carnivore,Aquatic predator,Aquatic ground
Actophilornis_albinucha,Actophilornis albinucha,,Carnivore,Aquatic predator,Aquatic ground
Adelomyia_melanogenys,Adelomyia melanogenys,,Herbivore,Nectarivore,Nectarivore aerial
Aechmophorus_clarkii,Aechmophorus clarkii,,Carnivore,Aquatic predator,Aquatic dive
Aechmophorus_occidentalis,Aechmophorus occidentalis,,Carnivore,Aquatic predator,Aquatic dive
Aegithalos_caudatus,Aegithalos caudatus,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithalos_concinnus,Aegithalos concinnus,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithalos_fuliginosus,Aegithalos fuliginosus,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithalos_iouschistos,Aegithalos iouschistos,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithalos_leucogenys,Aegithalos leucogenys,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithalos_niveogularis,Aegithalos niveogularis,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithina_lafresnayei,Aegithina lafresnayei,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithina_nigrolutea,Aegithina nigrolutea,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithina_tiphia,Aegithina tiphia,,Carnivore,Invertivore,Invertivore glean arboreal
Aegithina_viridissima,Aegithina viridissima,,Carnivore,Invertivore,Invertivore glean arboreal
Aegolius_acadicus,Aegolius acadicus,,Carnivore,Vertivore,Vertivore perch
Aegolius_funereus,Aegolius funereus,,Carnivore,Vertivore,Vertivore perch
Aegolius_harrisii,Aegolius harrisii,,Carnivore,Vertivore,Vertivore perch
Aegolius_ridgwayi,Aegolius ridgwayi,,Carnivore,Vertivore,Vertivore perch
Aegotheles_albertisi,Aegotheles albertisi,,Carnivore,Invertivore,Generalist
Aegotheles_archboldi,Aegotheles archboldi,,Carnivore,Invertivore,Generalist
Aegotheles_bennettii,Aegotheles bennettii,,Carnivore,Invertivore,Generalist
Aegotheles_crinifrons,Aegotheles crinifrons,,Carnivore,Invertivore,Generalist
Aegotheles_cristatus,Aegotheles cristatus,,Carnivore,Invertivore,Generalist
Aegotheles_insignis,Aegotheles insignis,,Carnivore,Invertivore,Generalist
Aegotheles_savesi,Aegotheles savesi,,Carnivore,Invertivore,Generalist
Aegotheles_tatei,Aegotheles tatei,,Carnivore,Invertivore,Generalist
Aegotheles_wallacii,Aegotheles wallacii,,Carnivore,Invertivore,Generalist
Aegypius_monachus,Aegypius monachus,,Scavenger,Scavenger,Scavenger ground
Aenigmatolimnas_marginalis,Aenigmatolimnas marginalis,,Carnivore,Aquatic predator,Aquatic ground
Aepypodius_arfakianus,Aepypodius arfakianus,,Herbivore,Omnivore,NA
Aepypodius_bruijnii,Aepypodius bruijnii,,Herbivore,Omnivore,NA
Aeronautes_andecolus,Aeronautes andecolus,,Carnivore,Invertivore,Invertivore aerial
Aeronautes_montivagus,Aeronautes montivagus,,Carnivore,Invertivore,Invertivore aerial
Aeronautes_saxatalis,Aeronautes saxatalis,,Carnivore,Invertivore,Invertivore aerial
Aethia_cristatella,Aethia cristatella,,Carnivore,Aquatic predator,Aquatic dive
Aethia_psittacula,Aethia psittacula,,Carnivore,Aquatic predator,Aquatic dive
Aethia_pusilla,Aethia pusilla,,Carnivore,Aquatic predator,Aquatic dive
Aethia_pygmaea,Aethia pygmaea,,Carnivore,Aquatic predator,Aquatic dive
Aethopyga_bella,Aethopyga bella,,Omnivore,Omnivore,NA
Aethopyga_boltoni,Aethopyga boltoni,,Omnivore,Omnivore,NA
Aethopyga_christinae,Aethopyga christinae,,Herbivore,Omnivore,NA
Aethopyga_duyvenbodei,Aethopyga duyvenbodei,,Omnivore,Omnivore,NA
Aethopyga_eximia,Aethopyga eximia,,Omnivore,Omnivore,NA
Aethopyga_flagrans,Aethopyga flagrans,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_gouldiae,Aethopyga gouldiae,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_ignicauda,Aethopyga ignicauda,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_linaraborae,Aethopyga linaraborae,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_mystacalis,Aethopyga mystacalis,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_nipalensis,Aethopyga nipalensis,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_primigenia,Aethopyga primigenia,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_pulcherrima,Aethopyga pulcherrima,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_saturata,Aethopyga saturata,,Herbivore,Nectarivore,Nectarivore glean
Aethopyga_shelleyi,Aethopyga shelleyi,,Omnivore,Nectarivore,Nectarivore glean
Aethopyga_siparaja,Aethopyga siparaja,,Herbivore,Nectarivore,Generalist
Afropavo_congensis,Afropavo congensis,,Omnivore,Invertivore,Invertivore ground
Agamia_agami,Agamia agami,,Carnivore,Aquatic predator,Aquatic ground
Agapornis_canus,Agapornis canus,,Herbivore,Omnivore,NA
Agapornis_fischeri,Agapornis fischeri,,Herbivore,Granivore,Granivore arboreal
Agapornis_lilianae,Agapornis lilianae,,Herbivore,Granivore,Granivore ground
Agapornis_nigrigenis,Agapornis nigrigenis,,Herbivore,Granivore,Granivore ground
Agapornis_personatus,Agapornis personatus,,Herbivore,Granivore,Granivore ground
Agapornis_pullarius,Agapornis pullarius,,Herbivore,Granivore,Granivore ground
Agapornis_roseicollis,Agapornis roseicollis,,Herbivore,Granivore,Granivore ground
Agapornis_swindernianus,Agapornis swindernianus,,Herbivore,Omnivore,NA
Agapornis_taranta,Agapornis taranta,,Herbivore,Granivore,Granivore ground
Agelaioides_badius,Agelaioides badius,,Omnivore,Omnivore,NA
Agelaius_assimilis,Agelaius assimilis,,Omnivore,Omnivore,NA
Agelaius_humeralis,Agelaius humeralis,,Omnivore,Omnivore,NA
Agelaius_phoeniceus,Agelaius phoeniceus,,Herbivore,Granivore,Granivore ground
Agelaius_tricolor,Agelaius tricolor,,Omnivore,Invertivore,Invertivore ground
Agelaius_xanthomus,Agelaius xanthomus,,Omnivore,Invertivore,Invertivore glean arboreal
Agelastes_meleagrides,Agelastes meleagrides,,Omnivore,Omnivore,NA
Agelastes_niger,Agelastes niger,,Omnivore,Omnivore,NA
Agelasticus_cyanopus,Agelasticus cyanopus,,Omnivore,Omnivore,NA
Agelasticus_thilius,Agelasticus thilius,,Carnivore,Aquatic predator,Aquatic ground
Agelasticus_xanthophthalmus,Agelasticus xanthophthalmus,,Carnivore,Invertivore,Invertivore ground
Aglaeactis_aliciae,Aglaeactis aliciae,,Herbivore,Nectarivore,Nectarivore aerial
Aglaeactis_castelnaudii,Aglaeactis castelnaudii,,Herbivore,Nectarivore,Nectarivore aerial
Aglaeactis_cupripennis,Aglaeactis cupripennis,,Herbivore,Nectarivore,Nectarivore aerial
Aglaeactis_pamela,Aglaeactis pamela,,Herbivore,Nectarivore,Nectarivore aerial
Aglaiocercus_berlepschi,Aglaiocercus berlepschi,,Herbivore,Nectarivore,Nectarivore aerial
Aglaiocercus_coelestis,Aglaiocercus coelestis,,Herbivore,Nectarivore,Nectarivore aerial
Aglaiocercus_kingi,Aglaiocercus kingi,,Herbivore,Nectarivore,Nectarivore aerial
Agriornis_albicauda,Agriornis albicauda,,Carnivore,Vertivore,Vertivore perch
Agriornis_lividus,Agriornis lividus,,Carnivore,Vertivore,Vertivore perch
Agriornis_micropterus,Agriornis micropterus,,Carnivore,Vertivore,Vertivore perch
Agriornis_montanus,Agriornis montanus,,Carnivore,Omnivore,NA
Agriornis_murinus,Agriornis murinus,,Carnivore,Vertivore,Vertivore perch
Ailuroedus_buccoides,Ailuroedus buccoides,,Omnivore,Omnivore,NA
Ailuroedus_crassirostris,Ailuroedus crassirostris,,Herbivore,Omnivore,NA
Ailuroedus_melanotis,Ailuroedus melanotis,,Herbivore,Frugivore,Fugivore glean
Aimophila_aestivalis,Peucaea aestivalis,Aimophila aestivalis,Herbivore,Granivore,Granivore ground
Aimophila_botterii,Aimophila botterii,,Carnivore,Invertivore,Invertivore ground
Aimophila_carpalis,Aimophila carpalis,,Omnivore,Granivore,Granivore ground
Aimophila_cassinii,Peucaea cassinii,Aimophila cassinii,Omnivore,Invertivore,Invertivore ground
Aimophila_humeralis,Aimophila humeralis,,Carnivore,Invertivore,Generalist
Aimophila_mystacalis,Aimophila mystacalis,,Omnivore,Omnivore,NA
Aimophila_notosticta,Aimophila notosticta,,Herbivore,Omnivore,NA
Aimophila_quinquestriata,Aimophila quinquestriata,,Herbivore,Omnivore,NA
Aimophila_rufescens,Aimophila rufescens,,Herbivore,Omnivore,NA
Aimophila_ruficauda,Aimophila ruficauda,,Herbivore,Omnivore,NA
Aimophila_ruficeps,Aimophila ruficeps,,Herbivore,Granivore,Granivore ground
Aimophila_stolzmanni,Aimophila stolzmanni,,Omnivore,Invertivore,Invertivore ground
Aimophila_strigiceps,Aimophila strigiceps,,Omnivore,Granivore,Granivore ground
Aimophila_sumichrasti,Aimophila sumichrasti,,Herbivore,Omnivore,NA
Aix_galericulata,Aix galericulata,,Herbivore,Herbivore aquatic,Herbivore aquatic surface
Aix_sponsa,Aix sponsa,,Herbivore,Omnivore,NA
Alaemon_alaudipes,Alaemon alaudipes,,Carnivore,Invertivore,Invertivore ground
Alaemon_hamertoni,Alaemon hamertoni,,Carnivore,Invertivore,Invertivore ground
Alauda_arvensis,Alauda arvensis,,Omnivore,Omnivore,NA
Alauda_gulgula,Alauda gulgula,,Omnivore,Omnivore,NA
Alauda_japonica,Alauda japonica,,Omnivore,Omnivore,NA
Alauda_razae,Alauda razae,,Omnivore,Omnivore,NA
Alca_torda,Alca torda,,Carnivore,Aquatic predator,Aquatic dive
Alcedo_argentata,Alcedo argentata,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_atthis,Alcedo atthis,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_azurea,Alcedo azurea,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_coerulescens,Alcedo coerulescens,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_cristata,Alcedo cristata,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_cyanopectus,Alcedo cyanopectus,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_euryzona,Alcedo euryzona,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_hercules,Alcedo hercules,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_leucogaster,Alcedo leucogaster,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_meninting,Alcedo meninting,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_pusilla,Alcedo pusilla,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_quadribrachys,Alcedo quadribrachys,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_semitorquata,Alcedo semitorquata,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_vintsioides,Alcedo vintsioides,,Carnivore,Aquatic predator,Aquatic perch
Alcedo_websteri,Alcedo websteri,,Carnivore,Aquatic predator,Aquatic perch
Alcippe_brunnea,Alcippe brunnea,,Carnivore,Invertivore,Invertivore ground
Alcippe_brunneicauda,Alcippe brunneicauda,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_castaneceps,Alcippe castaneceps,,Carnivore,Invertivore,Invertivore bark
Alcippe_chrysotis,Alcippe chrysotis,,Omnivore,Invertivore,Invertivore glean arboreal
Alcippe_cinerea,Alcippe cinerea,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_cinereiceps,Alcippe cinereiceps,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_danisi,Alcippe danisi,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_dubia,Alcippe dubia,,Carnivore,Invertivore,Invertivore ground
Alcippe_formosana,Alcippe formosana,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_grotei,Alcippe grotei,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_klossi,Alcippe klossi,,Carnivore,Invertivore,Invertivore bark
Alcippe_ludlowi,Alcippe ludlowi,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_manipurensis,Alcippe manipurensis,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_morrisonia,Alcippe morrisonia,,Omnivore,Invertivore,Invertivore glean arboreal
Alcippe_nipalensis,Alcippe nipalensis,,Omnivore,Invertivore,Invertivore glean arboreal
Alcippe_peracensis,Alcippe peracensis,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_poioicephala,Alcippe poioicephala,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_pyrrhoptera,Alcippe pyrrhoptera,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_ruficapilla,Alcippe ruficapilla,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_rufogularis,Alcippe rufogularis,,Carnivore,Invertivore,Invertivore ground
Alcippe_striaticollis,Alcippe striaticollis,,Carnivore,Invertivore,Invertivore glean arboreal
Alcippe_variegaticeps,Alcippe variegaticeps,,Carnivore,Invertivore,Invertivore bark
Alcippe_vinipectus,Alcippe vinipectus,,Carnivore,Invertivore,Invertivore glean arboreal
Aleadryas_rufinucha,Aleadryas rufinucha,,Carnivore,Invertivore,Generalist
Alectoris_barbara,Alectoris barbara,,Herbivore,Omnivore,NA
Alectoris_chukar,Alectoris chukar,,Herbivore,Granivore,Granivore ground
Alectoris_graeca,Alectoris graeca,,Herbivore,Herbivore terrestrial,Herbivore ground
Alectoris_magna,Alectoris magna,,Herbivore,Herbivore terrestrial,Herbivore ground
Alectoris_melanocephala,Alectoris melanocephala,,Herbivore,Herbivore terrestrial,Herbivore ground
Alectoris_philbyi,Alectoris philbyi,,Herbivore,Herbivore terrestrial,Herbivore ground
Alectoris_rufa,Alectoris rufa,,Herbivore,Herbivore terrestrial,Herbivore ground
Alectroenas_madagascariensis,Alectroenas madagascariensis,,Herbivore,Frugivore,Fugivore glean
Alectroenas_pulcherrima,Alectroenas pulcherrima,,Herbivore,Frugivore,Fugivore glean
Alectroenas_sganzini,Alectroenas sganzini,,Herbivore,Frugivore,Fugivore glean
Alectrurus_risora,Alectrurus risora,,Carnivore,Invertivore,Generalist
Alectrurus_tricolor,Alectrurus tricolor,,Carnivore,Invertivore,Generalist
Alectura_lathami,Alectura lathami,,Herbivore,Omnivore,NA
Alethe_choloensis,Alethe choloensis,,Carnivore,Invertivore,Invertivore ground
