species,sci_name,popest,popestlci,popestuci,first_year_popest,last_year_popest,migrate,Breeding.Biome,Winter.Biome
Henslow's Sparrow,Centronyx henslowii,408187,290235,547708,2006,2015,M,Grassland,Temperate North America
Hepatic Tanager,Piranga flava,411228,263215,591940,2006,2015,M,Western Forest,Mexico-Central America
Hermit Thrush,Catharus guttatus,71726125,54075176,95680929,2006,2015,M,Forest Generalist,Temperate North America
Hermit Warbler,Setophaga occidentalis,2525603,1808648,3357140,2006,2015,M,Western Forest,Mexico-Central America
Herring Gull,Larus argentatus,2891313,1563414,4831139,2009,2011,M,Wetland,Temperate North America
Hoary Redpoll,Acanthis hornemanni,12815104,12474111,13252214,2006,2015,M,Arctic Tundra,Temperate North America
Hooded Merganser,Lophodytes cucullatus,485000,363750,606250,2004,2006,M,Wetland,Temperate North America
Hooded Oriole,Icterus cucullatus,350616,236805,494427,2006,2015,M,Aridlands,Mexico-Central America
Hooded Warbler,Setophaga citrina,5185197,4523541,5902847,2006,2015,M,Eastern Forest,Mexico-Central America
Horned Grebe,Podiceps auritus,246553,159574,364503,2006,2015,M,Wetland,Temperate North America
Horned Lark,Eremophila alpestris,100607831,90290833,112734630,2006,2015,M,Grassland,Temperate North America
House Finch,Haemorhous mexicanus,33246130,29546633,37992529,2006,2015,R,Habitat Generalist,Widespread
House Sparrow,Passer domesticus,92842101,83703006,104203385,2006,2015,Introduced,Introduced,Introduced
House Wren,Troglodytes aedon,43318358,39758949,47473572,2006,2015,M,Forest Generalist,Temperate North America
Hudsonian Godwit,Limosa haemastica,77000,56424,107100,2011,2013,M,Wetland,South America
Hutton's Vireo,Vireo huttoni,964653,744358,1213151,2006,2015,R,Western Forest,Temperate North America
Inca Dove,Columbina inca,619057,491301,765612,2006,2015,R,Aridlands,Southwestern Aridlands
Indigo Bunting,Passerina cyanea,77494167,73235841,82041052,2006,2015,M,Eastern Forest,Mexico-Central America
Juniper Titmouse,Baeolophus ridgwayi,291637,201086,392881,2006,2015,R,Western Forest,Temperate North America
Kentucky Warbler,Geothlypis formosa,2595606,2284175,2937212,2006,2015,M,Eastern Forest,Mexico-Central America
Killdeer,Charadrius vociferus,2000000,800000,5000000,2011,2013,M,Habitat Generalist,Widespread
King Eider,Somateria spectabilis,560000,280000,840000,2004,2006,M,Arctic Tundra,Marine
King Rail,Rallus elegans,63219,26563,122039,2006,2015,M,Wetland,Temperate North America
Ladder-backed Woodpecker,Dryobates scalaris,2377162,1983369,2827402,2006,2015,R,Aridlands,Southwestern Aridlands
Lapland Longspur,Calcarius lapponicus,68032536,60265772,80590222,2006,2015,M,Arctic Tundra,Temperate North America
Lark Bunting,Calamospiza melanocorys,11992598,9194389,15233830,2006,2015,M,Grassland,Southwestern Aridlands
Lark Sparrow,Chondestes grammacus,10638361,9078588,12343951,2006,2015,M,Grassland,Mexico-Central America
Laughing Gull,Leucophaeus atricilla,684463,425116,997966,2006,2015,M,Coasts,Coastal
Lawrence's Goldfinch,Spinus lawrencei,347128,188186,574120,2006,2015,M,Aridlands,Southwestern Aridlands
Lazuli Bunting,Passerina amoena,6453834,5417754,7643998,2006,2015,M,Western Forest,Mexico-Central America
Least Bittern,Ixobrychus exilis,131773,66196,217720,2006,2015,M,Wetland,Widespread
Least Flycatcher,Empidonax minimus,27244220,24465739,30286260,2006,2015,M,Eastern Forest,Mexico-Central America
Least Sandpiper,Calidris minutilla,700000,466667,1050000,2011,2013,M,Wetland,Widespread
Least Tern,Sternula antillarum,51692,21444,97858,2006,2015,M,Coasts,Coastal
LeConte's Sparrow,Ammospiza leconteii,5128134,4121245,6262076,2006,2015,M,Grassland,Temperate North America
LeConte's Thrasher,Toxostoma lecontei,45644,15853,93422,2006,2015,R,Aridlands,Southwestern Aridlands
Lesser Goldfinch,Spinus psaltria,5723877,4542330,7132984,2006,2015,M,Western Forest,Temperate North America
